date,open,high,low,close,volume,money
5/8/2012,100.08,100.08,100.01,100.01,320,32003.2
5/9/2012,100,100,100,100,500,50000
5/10/2012,100.44,100.44,100.02,100.02,1200,120024
5/11/2012,99.86,100.44,99.85,100.38,14280,1433426.4
5/14/2012,99.63,100.7,99.61,100.09,2130,213191.7
5/15/2012,100.14,100.78,100.1,100.78,1930,194505.4
5/16/2012,100.8,100.91,100.8,100.9,1240,125116
5/17/2012,100.9,100.9,100.9,100.9,1130,114017
5/18/2012,100.9,100.9,100.9,100.9,90,9081
5/21/2012,100.6,100.6,100.37,100.42,2260,226949.2
5/22/2012,100.89,100.89,100.89,100.89,10,1008.9
5/23/2012,100.88,100.89,100.88,100.89,320,32284.8
5/24/2012,100.8,100.8,100.68,100.73,320,32233.6
5/25/2012,100.34,100.9,100.32,100.8,260,26208
5/28/2012,100.7,100.7,100.7,100.7,200,20140
5/29/2012,100.3,100.98,100.3,100.64,1690,170081.6
5/30/2012,100.65,100.65,100.65,100.65,90,9058.5
5/31/2012,100.5,100.8,100.5,100.7,200,20140
6/4/2012,100.84,100.88,100.83,100.88,610,61536.8
6/6/2012,100.9,100.9,100.9,100.9,500,50450
6/7/2012,101.19,101.19,100.91,101.16,1190,120380.4
6/8/2012,101.16,101.16,101.16,101.16,100,10116
6/11/2012,101.15,101.15,101.15,101.15,1020,103173
6/12/2012,101,101,101,101,490,49490
6/13/2012,101.1,101.1,101.1,101.1,3490,352839
6/15/2012,101,101,101,101,50,5050
6/18/2012,100.86,101.1,100.83,101.1,170,17187
6/20/2012,101.15,101.38,101.15,101.38,5000,506900
6/27/2012,100.61,101.05,100.61,101.05,100,10105
6/28/2012,100.52,101,100.52,101,160,16160
6/29/2012,100.88,101.09,100.88,101.09,150,15163.5
7/2/2012,101.1,101.1,101.1,101.1,90,9099
7/3/2012,101,101.02,101,101.01,200,20202
7/6/2012,101.4,101.56,101.4,101.4,2640,267696
7/9/2012,101.15,101.15,101.1,101.1,110,11121
7/10/2012,100.75,101.1,100.65,101.1,1140,115254
7/13/2012,101.1,101.2,101.1,101.1,890,89979
7/16/2012,101.39,101.39,101.39,101.39,210,21291.9
7/17/2012,100.88,101.96,100.31,100.58,30040,3021423.2
7/18/2012,100.85,100.99,100.83,100.94,6890,695476.6
7/19/2012,100.65,100.9,100.65,100.9,1900,191710
7/20/2012,100.82,100.89,100.82,100.89,5030,507476.7
7/23/2012,100.8,100.8,100.8,100.8,10000,1008000
7/24/2012,100.87,100.88,100.78,100.78,10790,1087416.2
7/25/2012,100.83,100.96,100.8,100.95,17010,1717159.5
7/26/2012,100.88,100.95,100.88,100.95,6770,683431.5
7/27/2012,100.78,100.95,100.78,100.93,1640,165525.2
7/31/2012,100.97,100.97,100.71,100.93,390,39362.7
8/1/2012,100.93,100.93,100.93,100.93,100,10093
8/2/2012,100.93,100.96,100.71,100.96,1180,119132.8
8/3/2012,100.9,100.9,100.84,100.85,660,66561
8/6/2012,100.8,100.8,100.8,100.8,100,10080
8/7/2012,100.72,101,100.72,101,3850,388850
8/8/2012,100.85,100.85,100.85,100.85,100,10085
8/9/2012,100.85,100.85,100.85,100.85,100,10085
8/10/2012,100.81,100.81,100.71,100.72,700,70504
8/13/2012,100.77,100.85,100.77,100.85,330,33280.5
8/14/2012,100.9,100.9,100.76,100.9,420,42378
8/15/2012,100.8,100.9,100.74,100.8,460,46368
8/16/2012,100.9,100.9,100.72,100.89,320,32284.8
8/17/2012,100.94,100.94,100.76,100.76,140,14106.4
8/20/2012,100.71,100.8,100.7,100.72,350,35252
8/22/2012,100.88,100.88,100.88,100.88,50,5044
8/24/2012,100.8,100.85,100.5,100.85,850,85722.5
8/27/2012,100.51,100.85,100.51,100.85,350,35297.5
8/28/2012,100.95,100.95,100.72,100.95,170,17161.5
