,bond_id,cfets,broker,cfets-mean,cfets-std,cfets-z-score-c,cfets-z-score,broker-z-score,cfets-p,broker-p,cfets-p-z,broker-p-z,Vol,cfets-zs-grp,broker-zs-grp,cfets-p-z-grp,broker-p-z-grp,Vol-z-grp
30,220022.IB,2295290000.0,48,2100958705.8823528,12850756116.523327,0.015122168093111552,0.015151906898813836,0.03148507782691386,85,70,85.01515190689881,70.03148507782691,77.52331849236286,-1.3590865281377702,1.6567607035399654,83.64091347186223,71.65676070353996,77.6488370877011
31,220407.IB,1740000000.0,69,2100958705.8823528,12850756116.523327,-0.028088518886311836,-0.028143756931576357,0.13759117711144728,70,85,69.97185624306843,85.13759117711145,77.55472371008995,0.8806009224236697,-0.2767566271914656,70.88060092242367,84.72324337280854,77.8019221476161
32,190208.IB,1310000000.0,29,2100958705.8823528,12850756116.523327,-0.06154958499798692,-0.061670626579990305,-0.06451567866861639,70,70,69.93832937342,69.93548432133139,69.9369068473757,-0.7488654472880184,-0.8921019172907503,69.25113455271199,69.10789808270926,69.17951631771062
33,210005.IB,2482120000.0,75,2100958705.8823528,12850756116.523327,0.029660612236470287,0.029718941913728203,0.16790720547845683,85,85,85.02971894191373,85.16790720547846,85.09881307369609,-1.1647503648547888,-0.04668184073109064,83.83524963514522,84.9533181592689,84.39428389720706
34,220216.IB,2620000000.0,34,2100958705.8823528,12850756116.523327,0.04038994199339531,0.04046937165122429,-0.039252321696108435,85,70,85.04046937165123,69.96074767830389,77.50060852497757,-1.0213308380472232,-0.22134859601950932,83.97866916195278,69.77865140398049,76.87866028296664
35,220406.IB,1725000000.0,27,2100958705.8823528,12850756116.523327,-0.029255765378579573,-0.02931329889605591,-0.07462102145761958,70,70,69.97068670110394,69.92537897854238,69.94803283982316,0.823759072317448,-1.1604032457992466,70.82375907231744,68.83959675420076,69.8316779132591
36,220023.IB,3693000000.0,12,2100958705.8823528,12850756116.523327,0.12388697440694732,0.12413060684366188,-0.15041109237514347,85,50,85.12413060684366,49.849588907624856,67.48685975723426,0.09477847631684518,0.7339346004249246,85.09477847631685,50.733934600424924,67.91435653837088
37,220027.IB,1685490000.0,48,2100958705.8823528,12850756116.523327,-0.03233029263921279,-0.03239387243049506,0.03148507782691386,70,70,69.96760612756951,70.03148507782691,69.99954560269822,0.6740376391376601,1.6567607035399654,70.67403763913767,71.65676070353996,71.1653991713388
38,220004.IB,2568790000.0,7,2100958705.8823528,12850756116.523327,0.03640496246879326,0.03647655538449108,-0.17567444934765142,85,50,85.0364765553845,49.82432555065235,67.43040105301841,-1.0745982732649157,-0.00997419615526507,83.92540172673509,49.99002580384474,66.95771376528991
39,220322.IB,1390000000.0,48,2100958705.8823528,12850756116.523327,-0.055324270372559,-0.05543306943609934,0.03148507782691386,70,70,69.9445669305639,70.03148507782691,69.9880260041954,-0.4457089133881694,1.6567607035399654,69.55429108661183,71.65676070353996,70.60552589507589
40,210406.IB,1440000000.0,39,2100958705.8823528,12850756116.523327,-0.051433448731666546,-0.05153459622116748,-0.013988964723600473,70,70,69.94846540377883,69.9860110352764,69.96723821952762,-0.25623607970076384,0.44940472525173164,69.74376392029923,70.44940472525172,70.09658432277547
41,210207.IB,2600000000.0,56,2100958705.8823528,12850756116.523327,0.03883361333703833,0.03890998236525155,0.07190644898292659,85,85,85.03890998236525,85.07190644898293,85.05540821567409,-1.0421343667399368,-0.7752519978556113,83.95786563326007,84.2247480021444,84.09130681770223
42,220206.IB,910000000.0,49,2100958705.8823528,12850756116.523327,-0.09267615812512653,-0.09285841229944514,0.03653774922141545,50,85,49.90714158770056,85.03653774922141,67.47183966846099,1.858540937816637,-1.043672582059382,51.858540937816635,83.95632741794061,67.90743417787863
43,220202.IB,938000000.0,30,2100958705.8823528,12850756116.523327,-0.09049729800622676,-0.0906752672990833,-0.0594630072741148,50,70,49.90932473270092,69.94053699272588,59.924930862713396,1.9508820245590224,-0.7579512530365021,51.95088202455902,69.2420487469635,60.59646538576126
44,180205.IB,1110000000.0,5,2100958705.8823528,12850756116.523327,-0.07711287156155673,-0.07726451943971772,-0.1857797921366546,70,50,69.92273548056028,49.81422020786334,59.86847784421181,-1.5067567820376409,-0.30753771478734093,68.49324321796236,49.692462285212656,59.09285275158751
45,190409.IB,1230000000.0,14,2100958705.8823528,12850756116.523327,-0.06777489962341485,-0.06790818372388127,-0.14030574958614028,70,50,69.93209181627611,49.85969425041386,59.89589303334499,-1.0520219811878673,1.0314981190570005,68.94797801881214,51.031498119057,59.98973806893457
46,210218.IB,1030000000.0,37,2100958705.8823528,12850756116.523327,-0.08333818618698464,-0.0835020765836087,-0.024094307512603656,50,70,49.916497923416394,69.9759056924874,59.946201807951894,2.25428845242686,0.18110339674323525,52.25428845242686,70.18110339674324,61.21769592458505
47,092218005.IB,1810000000.0,67,2100958705.8823528,12850756116.523327,-0.022641368589062405,-0.02268589443067176,0.1274858343224441,70,85,69.97731410556933,85.12748583432244,77.5523999699459,1.1458628895860377,-0.3534482226782572,71.14586288958604,84.64655177732175,77.8962073334539
